time/total_timesteps,time/fps,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/iterations,train/entropy_loss,train/loss,train/explained_variance,train/approx_kl,train/clip_range,train/n_updates,train/learning_rate,train/clip_fraction,train/policy_gradient_loss,train/value_loss
4096,449,16744.800000000003,9,104.3076923076923,1,,,,,,,,,,
8192,423,15983.639024390246,19,101.07317073170732,2,-1.2692370623350144,0.015642311424016953,0.6099086999893188,0.0014169426,0.05,3450,0.00025,0.2860107421875,-0.007351698304410093,0.18983167371479795
12288,419,142754.596,29,157.33333333333334,3,-1.134727318584919,-0.004688724409788847,0.9048261046409607,0.0016948943,0.05,3460,0.00025,0.223681640625,-0.0038034195662476123,0.005033039936097339
16384,416,111659.11500000003,39,147.92,4,-1.2704183481633664,0.006278099492192268,0.9284552931785583,0.0015875706,0.05,3470,0.00025,0.3107177734375,-0.007131974695948884,0.038106294046156106
20480,414,112859.31299999997,49,159.73,5,-1.2870906911790372,-0.0024720989167690277,0.8933815732598305,0.0017235958,0.05,3480,0.00025,0.3187255859375,-0.00734131497447379,0.014236107461329084
24576,413,47668.791999999994,59,141.93,6,-1.2901617296040058,-0.010331136174499989,0.9237850680947304,0.0015560505,0.05,3490,0.00025,0.309228515625,-0.006806118512758985,0.006941407341219019
28672,412,81513.66799999999,69,172.07,7,-1.26224552616477,-0.004150081425905228,0.9840538613498211,0.0015256603,0.05,3500,0.00025,0.31357421875,-0.004438089451286942,0.007025131541013252
32768,411,93680.187,79,192.96,8,-1.2714252300560474,0.0036590490490198135,0.9266219362616539,0.0007919951,0.05,3510,0.00025,0.2005126953125,-0.002403592536575161,0.017525708937318994
36864,411,152631.22999999998,89,233.33,9,-1.183589893579483,0.0026015043258666992,0.9259944409132004,0.0020131813,0.05,3520,0.00025,0.2873779296875,-0.005675049981800839,0.014561422567931004
40960,410,153200.06499999997,99,234.25,10,-1.2482601054012776,0.00036410940811038017,0.8871033638715744,0.0013147027,0.05,3530,0.00025,0.2583740234375,-0.0031408238879521377,0.016729722524178214
45056,411,179113.20099999997,109,272.59,11,-1.2756509765982629,-0.00544162979349494,0.9365133419632912,0.0012729357,0.05,3540,0.00025,0.229345703125,-0.0045446535194059836,0.009481994414818474
49152,410,157675.76499999998,119,263.35,12,-1.2690824411809445,0.003614676184952259,0.9454118125140667,0.0014979437,0.05,3550,0.00025,0.296484375,-0.004906359376036562,0.010138323743012734
53248,411,157718.73999999996,129,263.85,13,-1.3086813434958458,-0.006402960047125816,0.49184346199035645,0.0015193603,0.05,3560,0.00025,0.2943359375,-0.0064520082087256014,0.0063235745168640275
57344,410,282223.99799999996,139,322.69,14,-1.2126489572227002,0.0021518184803426266,0.3387516140937805,0.00087930064,0.05,3570,0.00025,0.19306640625,-0.0012236970593221485,0.014225295975847985
61440,410,241739.41599999997,149,290.84,15,-1.258677353709936,0.000790485180914402,0.8600753545761108,0.0013983599,0.05,3580,0.00025,0.2216064453125,-0.0042591133620589975,0.015773545500996987
65536,410,347777.30199999997,159,323.19,16,-1.2692492455244064,-0.009389886632561684,0.9448261633515358,0.0015928033,0.05,3590,0.00025,0.2978515625,-0.0072482953110011294,0.009602588108100463
69632,410,308222.1649999999,169,315.69,17,-1.1425105944275855,0.014856124296784401,0.654994398355484,0.0006560674,0.05,3600,0.00025,0.140576171875,-0.0019070893293246626,0.02741880752146244
73728,410,334373.772,179,341.31,18,-1.2615660808980464,-0.010737979784607887,0.9050589203834534,0.0016181624,0.05,3610,0.00025,0.298095703125,-0.00741541545430664,0.007420618273317814
77824,410,454197.055,189,390.74,19,-1.2636144146323205,0.002869176911190152,0.8397027254104614,0.0013972456,0.05,3620,0.00025,0.2972900390625,-0.0038970513880485667,0.007547496430925093
81920,410,429773.38700000005,199,353.86,20,-1.2479356184601784,0.0010686444584280252,-0.11807167530059814,0.0013526008,0.05,3630,0.00025,0.1929931640625,-0.002237863509799354,0.012343838866217993
86016,410,310309.554,209,307.42,21,-1.2802484646439551,-0.005808428395539522,0.9280620738863945,0.0017218919,0.05,3640,0.00025,0.287451171875,-0.005907135142479092,0.01085094880691031
90112,410,315200.96200000006,219,310.07,22,-1.2778394587337971,-0.011058463715016842,0.840553805232048,0.0019453777,0.05,3650,0.00025,0.3519287109375,-0.008948709996184334,0.004598908756452147
94208,410,333249.555,229,331.59,23,-1.2874325782060623,0.0014768806286156178,0.8907895311713219,0.0015946242,0.05,3660,0.00025,0.281591796875,-0.0049163044459419325,0.0065447782646515405
98304,410,264698.1190000001,239,322.43,24,-1.2624216727912425,-0.0021698693744838238,0.9402154348790646,0.0017373983,0.05,3670,0.00025,0.2822265625,-0.005695707010454498,0.007255770338815637
